Flight_date,Plot_ID,R_mean,R_median,R_count,R_std,G_mean,G_median,G_count,G_std,B_mean,B_median,B_count,B_std,BCC_mean,BCC_median,BCC_count,BCC_std,BdivG_mean,BdivG_median,BdivG_count,BdivG_std,BI_mean,BI_median,BI_count,BI_std,BIM_mean,BIM_median,BIM_count,BIM_std,CI_mean,CI_median,CI_count,CI_std,CIVE_mean,CIVE_median,CIVE_count,CIVE_std,COM1_mean,COM1_median,COM1_count,COM1_std,COM2_mean,COM2_median,COM2_count,COM2_std,ExG_mean,ExG_median,ExG_count,ExG_std,ExG2_mean,ExG2_median,ExG2_count,ExG2_std,ExGR_mean,ExGR_median,ExGR_count,ExGR_std,EXR_mean,EXR_median,EXR_count,EXR_std,GCC_mean,GCC_median,GCC_count,GCC_std,GdivB_mean,GdivB_median,GdivB_count,GdivB_std,GdivR_mean,GdivR_median,GdivR_count,GdivR_std,GLI_mean,GLI_median,GLI_count,GLI_std,GmnB_mean,GmnB_median,GmnB_count,GmnB_std,GmnR_mean,GmnR_median,GmnR_count,GmnR_std,HI_mean,HI_median,HI_count,HI_std,HUE_mean,HUE_median,HUE_count,HUE_std,I_mean,I_median,I_count,I_std,IF_mean,IF_median,IF_count,IF_std,MExG_mean,MExG_median,MExG_count,MExG_std,MGVRI_mean,MGVRI_median,MGVRI_count,MGVRI_std,MRCCbyAlper_mean,MRCCbyAlper_median,MRCCbyAlper_count,MRCCbyAlper_std,MSRGR_mean,MSRGR_median,MSRGR_count,MSRGR_std,MyIndexi_mean,MyIndexi_median,MyIndexi_count,MyIndexi_std,NDI_mean,NDI_median,NDI_count,NDI_std,NDRBI_mean,NDRBI_median,NDRBI_count,NDRBI_std,NGBDI_mean,NGBDI_median,NGBDI_count,NGBDI_std,NGRDI_mean,NGRDI_median,NGRDI_count,NGRDI_std,RCC_mean,RCC_median,RCC_count,RCC_std,RdiB_mean,RdiB_median,RdiB_count,RdiB_std,RGBVI_mean,RGBVI_median,RGBVI_count,RGBVI_std,RI_mean,RI_median,RI_count,RI_std,RmnB_mean,RmnB_median,RmnB_count,RmnB_std,SI_mean,SI_median,SI_count,SI_std,TGI_mean,TGI_median,TGI_count,TGI_std,TNDGR_mean,TNDGR_median,TNDGR_count,TNDGR_std,VARI_mean,VARI_median,VARI_count,VARI_std,VEG_mean,VEG_median,VEG_count,VEG_std
07_14_2021_SVREC_RGB_P1.tif,21021001,60.66569,54,125226,37.710747,103.778915,106,125226,37.214184,61.8171,58,125226,32.951733,0.2644802,0.2688679,125226,0.032739498,0.5720128,0.5575221,125226,0.15174186,78.83309,76.86134,125226,34.25681,11.939103,12.055428,125226,2.880784,-0.06401722,-0.06896552,125226,0.14473484,-14.824092,-19.44155,125226,14.590727,176.16124,203.66379,125226,81.8635,23.997704,25.782562,125226,5.9227853,85.075035,96,125226,35.36216,0.44612622,0.4478261,125226,0.22901446,103.92199,124.79999,125226,61.527866,-18.846943,-28.599998,125226,29.294378,0.48204207,0.4826087,125226,0.07633815,1.9011534,1.7936507,125226,0.6853854,2.0515454,1.9411764,125226,0.90872556,0.29395157,0.3020528,125226,0.13774419,41.961815,46,125226,15.068491,43.11322,50,125226,20.971792,#NAME?,-1.1428572,125225,nan,-1.3820349,-1.5675516,125226,0.7125195,7.418417,7.147541,125226,3.4274914,#NAME?,-1.1428572,125225,nan,58.1154,64.962,125226,23.814526,0.5291705,0.5805515,125226,0.23861784,1526.2212,706.1166,125226,2413.8562,1.4070191,1.3932611,125226,0.26803395,-0.016434709,-0.03409091,125226,0.07891742,167.07242,168.95999,125226,19.852156,-0.026526514,-0.033333335,125226,0.065362796,-0.01242623,-0.022222223,125226,0.047166187,0.30525318,0.32,125226,0.15509495,0.25347772,0.24880382,125226,0.049073786,0.95640767,0.9354839,125226,0.12807028,0.5191297,0.5546458,125226,0.2099935,-0.30525318,-0.32,125226,0.15509495,-1.1514063,-3,125226,9.125175,1,1,117990,0,122.7731,125.31,125226,45.7231,0.8929301,0.9055385,125226,0.08904546,0.4651022,0.5050505,125226,0.2132916,1.9883381,1.8848385,125226,0.80421084
07_19_2021_SVREC_RGB_P1.tif,21021001,52.990005,47,97655,21.162647,86.66102,85,97655,14.694744,50.7753,46,97655,16.720125,0.26337036,0.25980392,97655,0.019424798,0.5768723,0.5416667,97655,0.10827905,65.942894,62.47666,97655,16.270267,11.180432,10.92398,97655,1.3960099,0.023261737,0.02173913,97655,0.07976699,-8.577553,-11.023548,97655,8.472332,144.76538,160.70854,97655,50.20324,21.307234,22.202208,97655,3.3361847,69.55673,75,97655,20.190414,0.39531934,0.44,97655,0.13988364,82.031746,94.600006,97655,38.465744,-12.475014,-19.600002,97655,19.247324,0.46510643,0.48,97655,0.046627875,1.7861001,1.8461539,97655,0.28545457,1.7507542,1.8367347,97655,0.3335796,0.26695597,0.2972973,97655,0.09013426,35.88572,38,97655,8.647398,33.671017,37,97655,12.131231,-0.8199206,-0.95,97655,0.4999662,-1.5038772,-1.5657799,97655,0.4155133,6.243486,5.8688526,97655,1.6627468,-0.8199206,-0.95,97655,0.4999662,46.731922,50.019997,97655,13.018235,0.47704032,0.54271024,97655,0.17692913,969.0735,570.45605,97655,1164.9093,1.3164902,1.3552618,97655,0.13269371,0.021036444,0.011904762,97655,0.056762103,161.37401,165.7554,97655,12.988773,0.013430364,0.010989011,97655,0.0412673,0.012360516,0.007751938,97655,0.033785533,0.26073444,0.29496402,97655,0.10147479,0.27152315,0.2617801,97655,0.03135766,1.0308434,1.0222223,97655,0.086618155,0.48991948,0.5467441,97655,0.15446326,-0.26073444,-0.29496402,97655,0.10147479,2.2147048,1,97655,6.0196047,1,1,86470,0,101.02989,98.590004,97655,17.887693,0.8700613,0.8916075,97655,0.06105484,0.4003984,0.4516129,97655,0.14903808,1.7544701,1.8373733,97655,0.311648
07_28_2021_SVREC_RGB_P1.tif,21021001,44.641163,40,105508,27.82944,86.79683,84,105611,37.03297,45.448895,41,105506,27.966833,0.24056801,0.2513661,105468,0.045146678,0.48228225,0.5,105506,0.13924685,62.695522,58.926506,105468,30.229847,10.476074,10.488089,105468,2.8736637,-0.03953062,-0.03125,105468,0.2166385,-14.47978,-15.601549,105468,10.393057,179.65765,185.65326,105468,50.493656,23.728626,24.164547,105468,4.460081,83.65115,86,105468,26.08662,0.5668152,0.5070095,105468,0.2597862,108.01741,112.399994,105468,35.531494,-24.363697,-26,105508,13.21613,0.5222718,0.5023365,105468,0.0865954,2.444294,2,105506,1.8282726,2.5290828,2.0535715,105508,2.0278876,0.36440918,0.33748066,105468,0.14007537,41.41481,43,105506,12.470294,42.220165,44,105508,14.351441,#NAME?,-1.0571429,105468,nan,-1.547451,-1.5665603,105468,0.20327719,5.8035784,5.4098363,105468,2.9988823,#NAME?,-1.0571429,105468,nan,56.03429,57.596992,105468,18.235832,0.618733,0.6166493,105508,0.18141146,747.0373,394.0851,105468,973.83905,1.5357504,1.4330288,105508,0.41298166,-0.004447443,-0.015384615,105468,0.08382562,175.2237,172.16374,105508,19.241087,-0.009940744,-0.015384615,105468,0.094765045,-0.002464123,-0.010309278,105468,0.057175335,0.36893508,0.34502923,105508,0.15032099,0.23716024,0.24427481,105468,0.050573993,1.0007775,0.969697,105468,0.24337704,0.6184112,0.6069747,105468,0.16504556,-0.36893508,-0.34502923,105508,0.15032099,-0.80737287,-1,105468,6.476059,1,1,96176,0,100.84112,96.57,105468,45.503014,0.92880064,0.9192547,105508,0.079147704,0.5329207,0.5232558,105468,0.17189434,2.4688642,2.0253408,105468,1.7956244
08_02_2021_SVREC_RGB_P1.tif,21021001,56.37755,55,90881,18.543732,97.40917,99,90881,22.94056,47.959473,48,90881,16.050144,0.23379773,0.2361111,90881,0.019803012,0.4821628,0.48351648,90881,0.070396714,70.794586,71.260086,90881,18.790163,11.473668,11.604597,90881,1.6889063,0.15139528,0.14814815,90881,0.072832994,-16.884491,-18.373552,90881,7.1361012,184.44765,191.28076,90881,35.282406,24.958683,25.621365,90881,3.090497,90.48132,94,90881,17.886541,0.469563,0.46666667,90881,0.107238,108.96191,113.59999,90881,25.00049,-18.480606,-20.400002,90881,10.19622,0.48985434,0.4888889,90881,0.035746,2.1259859,2.0681818,90881,0.39172915,1.7933306,1.7777778,90881,0.27585575,0.3136453,0.31343284,90881,0.063786596,49.4497,51,90881,9.232065,41.031624,43,90881,9.331338,-0.652043,-0.68,90881,0.20966512,-1.5649526,-1.5675069,90881,0.058085553,6.6146297,6.622951,90881,1.850718,-0.652043,-0.68,90881,0.20966512,58.17722,60.530006,90881,11.94027,0.5096141,0.5192878,90881,0.10708279,1006.5686,837.97736,90881,765.847,1.3354187,1.3333334,90881,0.09993527,0.087806866,0.083333336,90881,0.04636873,163.52197,163.84,90881,8.626156,0.08360982,0.08,90881,0.043610193,0.05940331,0.056338027,90881,0.031419665,0.27751538,0.28,90881,0.06739185,0.27634794,0.2751938,90881,0.021966359,1.1876972,1.173913,90881,0.11076888,0.5685358,0.5730315,90881,0.093398556,-0.27751538,-0.28,90881,0.06739185,8.418075,8,90881,4.9680376,1,1,90065,0,108.51397,110.630005,90881,26.882572,0.8809284,0.8831761,90881,0.038478695,0.39779338,0.40495867,90881,0.08603761,1.8889128,1.8646132,90881,0.29404417
08_13_2021_SVREC_RGB_P1.tif,21021001,96.10675,94,79014,34.970406,115.314705,116,79014,37.150196,62.240814,60,79011,27.518818,0.220121,0.22558923,79011,0.0320908,0.521467,0.53174603,79011,0.10168376,94.114555,92.874466,79011,32.642303,13.275048,13.416408,79011,2.493896,0.36886048,0.35514018,79011,0.11436704,-8.388724,-8.902544,79011,8.948062,118.382034,118.03378,79011,44.18601,22.3241,22.657408,79011,3.991191,72.28644,74,79011,22.670584,0.2828179,0.26818183,79011,0.102537595,53.0509,52.19998,79011,32.186375,19.234749,18.199997,79014,18.171614,0.4276059,0.4227273,79011,0.034179196,2.0201943,1.880597,79011,0.6146996,1.2257227,1.1967213,79014,0.17728838,0.19653767,0.18849841,79011,0.065586746,53.0779,54,79011,14.08141,19.20795,19,79014,11.875003,0.30678496,0.28395063,79011,0.42060962,-1.4006782,-1.5653654,79011,0.66247493,8.972776,8.852459,79011,3.2082963,0.30678496,0.28395063,79011,0.42060962,41.213924,41.968994,79011,14.776434,0.18785408,0.17767955,79014,0.1266449,3703.3528,3063.0251,79011,2718.1206,1.1044257,1.0939475,79014,0.07724257,0.30974874,0.29464287,79011,0.11477974,140.30847,139.46269,79014,8.553135,0.2325916,0.2159091,79011,0.09274912,0.207215,0.1919192,79011,0.088134885,0.09615991,0.08955224,79014,0.06682136,0.35227305,0.35153583,79011,0.028162077,1.6574893,1.5507246,79011,0.46821305,0.40037152,0.38904852,79011,0.1176558,-0.09615991,-0.08955224,79014,0.06682136,33.869358,33,79011,12.831229,1,1,79005,0,120.781906,120.66,79011,42.6095,0.77091944,0.76782304,79014,0.042931657,0.1339499,0.12643678,79011,0.09027717,1.4334162,1.391471,79011,0.2221874
08_18_2021_SVREC_RGB_P1.tif,21021001,139.68782,140,94658,41.044262,121.87567,121,94658,41.00162,86.18614,85,94658,34.236526,0.24183817,0.24712643,94658,0.028630814,0.69287336,0.7058824,94658,0.09061673,118.23212,117.62228,94658,38.278896,15.000244,15.187715,94658,2.6126108,0.40131754,0.38607594,94658,0.10085908,14.730276,15.238455,94658,4.7040186,-22.181868,-23.144897,94658,20.848913,13.532552,13.375953,94658,2.434978,17.87738,17,94658,12.783716,0.0494122,0.048387095,94658,0.034644596,-55.809906,-56.000015,94658,17.167582,73.68727,74.399994,94658,17.702198,0.34980407,0.34946236,94658,0.011548198,1.4745771,1.4166666,94658,0.25523958,0.8603399,0.8695652,94658,0.061997008,0.03639025,0.035856575,94658,0.025331888,35.689526,36,94658,11.522094,-17.812145,-18,94658,5.505029,2.1269758,2.0526316,94658,0.57958174,1.5502272,1.5658834,94658,0.20323302,11.401627,11.344262,94658,3.7794538,2.1269758,2.0526316,94658,0.57958174,3.5191717,2.8250046,94658,7.6894827,-0.15100046,-0.13885899,94658,0.0718162,8455.2705,7907.781,94658,4410.971,0.9269166,0.9325048,94658,0.034137864,0.47611478,0.44347826,94658,0.1580172,118.232155,119.06976,94658,4.7684298,0.25636128,0.23921569,94658,0.0849967,0.286694,0.2601626,94658,0.11510922,-0.07631124,-0.069767445,94658,0.037253357,0.40835774,0.40243903,94658,0.02744152,1.735389,1.628866,94658,0.42652127,0.11074754,0.10385369,94658,0.06198603,0.07631124,0.069767445,94658,0.037253357,53.50167,54,94658,12.755572,1,1,94658,0,126.86587,125.55,94658,48.443512,0.65023905,0.65592116,94657,0.029708419,-0.11053909,-0.104395606,94658,0.04770273,1.0203781,1.0177531,94658,0.051778294
08_23_2021_SVREC_RGB_P1.tif,21021001,138.42615,141,119485,30.757353,127.684204,130,119485,31.303263,111.6249,113,119485,30.255594,0.29333737,0.29383886,119485,0.014594829,0.86875486,0.86821705,119485,0.04413664,126.464516,128.53145,119485,30.47763,15.738123,16,119485,2.033471,0.20208693,0.20134228,119485,0.07028129,19.25708,19.29246,119485,1.7087405,-35.23618,-34.634468,119485,12.397727,11.132432,11.169858,119485,0.92004216,5.317362,5,119485,4.61973,0.013079404,0.013793103,119485,0.012954066,-60.795044,-60.600006,119485,12.274505,66.1124,67.2,119485,12.803262,0.33769313,0.33793104,119485,0.004318022,1.1541337,1.1517857,119485,0.060657255,0.91693795,0.92,119485,0.041955408,0.009746311,0.010309278,119485,0.009687615,16.059305,17,119485,4.9319696,-10.741942,-11,119485,4.318803,nan,2.3333333,119480,nan,1.5310645,1.5613304,119485,0.2714894,12.384764,12.590164,119485,3.0078895,nan,2.3333333,119480,nan,4.053404,3.9920082,119485,4.510139,-0.08734329,-0.08318891,119485,0.046217244,7349.047,7317.3335,119485,2880.825,0.9573115,0.9591663,119485,0.022196697,0.22425029,0.21875,119485,0.08979414,122.388145,122.666664,119485,2.9975114,0.114139676,0.1119403,119485,0.04461892,0.121112555,0.117056854,119485,0.051658735,-0.04384261,-0.041666668,119485,0.023418058,0.36896944,0.3678161,119485,0.015488205,1.2637815,1.2521008,119485,0.121917255,0.027088437,0.027648456,119485,0.018720504,0.04384261,0.041666668,119485,0.023418058,26.801247,28,119485,8.038087,1,1,119453,0,150.71921,152.83,119485,40.289265,0.6751631,0.6770032,119485,0.017671686,-0.07355839,-0.071428575,119485,0.03583187,0.98442495,0.98630446,119485,0.021730686
08_26_2021_SVREC_RGB_P1.tif,21021001,128.27524,129,100438,35.63506,119.6527,120,100438,35.48077,105.34132,105,100438,34.13432,0.29561844,0.2962963,100438,0.019702587,0.8734673,0.875,100438,0.06331873,118.2415,118.18206,100438,34.731503,15.164329,15.340578,100438,2.3571134,0.18727538,0.1880765,100438,0.09179926,18.874895,18.960451,100438,1.4003069,-28.689209,-29.478184,100438,12.402775,11.087628,11.016785,100438,0.94089746,5.688853,5,100438,4.2449603,0.01581714,0.015564202,100438,0.011780274,-54.243786,-55.200012,100438,13.495755,59.93263,60.800003,100438,15.36205,0.33860573,0.3385214,100438,0.003926757,1.1512637,1.1428572,100438,0.08937551,0.9278084,0.92903227,100438,0.04306454,0.011790418,0.011627907,100438,0.008765292,14.311386,14,100438,6.8436866,-8.622533,-9,100438,4.5060606,nan,2.2173913,100219,nan,1.4259785,1.5585282,100438,0.56193113,11.582599,11.5737705,100438,3.4227812,nan,2.2173913,100219,nan,4.845249,4.6269913,100438,4.0031896,-0.07569117,-0.073479146,100438,0.04664862,6422.8564,6075,100438,3241.8699,0.96296453,0.9638632,100438,0.022535527,0.20675015,0.20261438,100438,0.1108012,123.13946,123.29097,100438,3.0135357,0.10620545,0.10379936,100438,0.057364635,0.11246471,0.10810811,100438,0.06445565,-0.037972942,-0.036789298,100438,0.023543248,0.36577588,0.36486486,100438,0.018253587,1.2475244,1.2316432,100438,0.15557553,0.030962057,0.029289527,100438,0.021396328,0.037972942,0.036789298,100438,0.023543248,22.93392,23,100438,10.782465,1,1,99750,0,142.31085,141.64,100438,45.219044,0.67949945,0.6805958,100438,0.017535236,-0.06338961,-0.06349207,100438,0.036005035,0.9908305,0.9920211,100438,0.016509777
08_30_2021_SVREC_RGB_P1.tif,21021001,131.71164,136,111181,24.931774,126.738556,131,111181,23.764648,115.31523,119,111181,21.28676,0.3086911,0.3084833,111181,0.005092065,0.910522,0.90909094,111181,0.01800194,124.78718,128.52626,111181,23.325115,15.710527,16.020819,111181,1.5350208,0.12332071,0.12403101,111181,0.025980465,18.483683,18.437449,111181,1.0251502,-25.272402,-26.21351,111181,10.015392,11.179618,11.157619,111181,0.62886226,6.4502387,6,111181,2.8997047,0.017163405,0.017667845,111181,0.006981154,-51.207504,-52.400024,111181,10.537528,57.657726,59.199997,111181,11.367103,0.33905447,0.3392226,111181,0.002327051,1.0986977,1.1,111181,0.021586915,0.96272737,0.9634146,111181,0.015791824,0.012808527,0.013192612,111181,0.005194779,11.423319,11,111181,3.4519129,-4.97308,-5,111181,2.2396119,nan,1.8571428,111180,nan,1.5005418,1.5492601,111181,0.30143955,12.254604,12.622951,111181,2.2894654,nan,1.8571428,111180,nan,7.6479287,7.7299957,111181,2.1838868,-0.038090855,-0.037254147,111181,0.016388236,6336.7144,6457.6772,111181,2247.0173,0.9811538,0.98153687,111181,0.008051144,0.12847394,0.12857144,111181,0.02864042,125.56079,125.61491,111181,1.0504807,0.065915845,0.0661157,111181,0.014714643,0.06736782,0.06735751,111181,0.015491405,-0.019056285,-0.01863354,111181,0.008206881,0.3522544,0.35214448,111181,0.004898464,1.1416651,1.141593,111181,0.033693228,0.027895814,0.028660461,111181,0.010506088,0.019056285,0.01863354,111181,0.008206881,16.396399,16,111181,5.045278,1,1,111143,0,154.93854,159.68001,111181,28.741549,0.6934758,0.69380575,111181,0.005922882,-0.034268696,-0.033707865,111181,0.014443518,1.0011832,1.0016513,111181,0.010725829
07_14_2021_SVREC_RGB_P1.tif,21021002,65.76319,54,125223,44.026623,98.29248,99,125224,39.09407,65.261475,58,125224,36.106056,0.27931052,0.28225806,125223,0.027960038,0.64414793,0.6173913,125224,0.15521881,78.80855,73.45066,125223,38.224667,11.971392,11.860298,125223,3.092671,-0.055067506,-0.07272727,125223,0.14587721,-6.80082,-11.922552,125223,14.930776,132.27101,165.46887,125223,86.83229,20.698862,22.601713,125223,5.9611793,65.56102,77,125223,35.85544,0.3508133,0.37412587,125223,0.21308033,71.785645,98,125223,66.44742,-6.2246366,-20,125223,34.035366,0.4502711,0.45804197,125223,0.07102678,1.6571895,1.6197183,125224,0.49503055,1.7760748,1.7647059,125223,0.6787597,0.23531663,0.25659472,125223,0.13464126,33.03101,37,125224,14.748063,32.52991,40,125223,22.107819,nan,-1.1851852,125223,nan,-1.1589617,-1.5660881,125223,1.0288342,7.5186324,6.9180326,125223,3.8063393,nan,-1.1851852,125223,nan,45.614746,52.788994,125223,24.145252,0.43601564,0.5138772,125223,0.26239744,2003.0254,732.3907,125223,3122.5044,1.3126671,1.3284223,125223,0.23017338,-0.010485789,-0.039215688,125223,0.09717746,159.38,163.40425,125223,20.092196,-0.021941839,-0.03508772,125223,0.06919879,-0.009026802,-0.024875622,125223,0.05581696,0.24515624,0.27659574,125223,0.15697028,0.27041835,0.2597015,125223,0.0499356,0.9663928,0.9322034,125223,0.13863248,0.42793372,0.48288304,125223,0.22388937,-0.24515624,-0.27659574,125223,0.15697028,0.50120187,-3,125223,11.265443,1,1,120104,0,117.67622,117.75,125223,47.414158,0.8581231,0.8812467,125223,0.09370658,0.38906062,0.45544556,125223,0.23460194,1.7251524,1.7102484,125223,0.5963045
